id,name,price,category,imagePath
AP001,สลัดไก่ย่างซีซาร์,120.00,อาหารเรียกน้ำย่อย,chicken_caesar_salad.png
AP002,กุ้งทอดครีมซอสวาซาบิ,150.00,อาหารเรียกน้ำย่อย,wasabi_shrimp.png
AP003,ปอเปี๊ยะทอด,80.00,อาหารเรียกน้ำย่อย,fried_spring_rolls.png
AP004,ขนมปังกระเทียมชีส,90.00,อาหารเรียกน้ำย่อย,garlic_cheese_bread.png
AP005,ซุปเห็ดทรัฟเฟิล,110.00,อาหารเรียกน้ำย่อย,truffle_mushroom_soup.png
MC001,สเต็กเนื้อสันใน,350.00,อาหารจานหลัก,sirloin_steak.png
MC002,ปลากะพงทอดน้ำปลา,280.00,อาหารจานหลัก,fried_sea_bass.png
MC003,ข้าวผัดสับปะรด,150.00,อาหารจานหลัก,pineapple_fried_rice.png
MC004,พาสต้าคาโบนาร่า,180.00,อาหารจานหลัก,pasta_carbonara.png
MC005,แกงเขียวหวานไก่,160.00,อาหารจานหลัก,green_curry_chicken.png
SD001,เฟรนช์ฟรายส์,65.00,จานรอง,french_fries.png
SD002,มันบด,55.00,จานรอง,mashed_potatoes.png
SD003,ข้าวสวย,20.00,จานรอง,steamed_rice.png
SD004,ผักโขมอบชีส,120.00,จานรอง,baked_spinach_cheese.png
SD005,สลัดผักรวม,80.00,จานรอง,mixed_salad.png
DS001,เค้กช็อกโกแลตลาวา,120.00,ของหวาน,chocolate_lava_cake.png
DS002,ไอศกรีมวานิลลา,80.00,ของหวาน,vanilla_ice_cream.png
DS003,เครปเค้ก,110.00,ของหวาน,crepe_cake.png
DS004,บราวนี่,75.00,ของหวาน,brownie.png
DS005,ชีสเค้ก,130.00,ของหวาน,cheesecake.png
BV001,น้ำเปล่า,20.00,เครื่องดื่ม,mineral_water.png
BV002,กาแฟลาเต้,95.00,เครื่องดื่ม,cafe_latte.png
BV003,ชามะนาวเย็น,60.00,เครื่องดื่ม,iced_lemon_tea.png
BV004,น้ำส้มคั้นสด,85.00,เครื่องดื่ม,fresh_orange_juice.png
BV005,อิตาเลียนโซดา,70.00,เครื่องดื่ม,italian_soda.png